Collection_Date,Species,Host
06/21/21,Cx. pipiens,House Finch
06/28/21,Cx. pipiens,American Robin
06/28/21,Cx. restuans,House Sparrow
06/28/21,Cx. pipiens,Human
06/28/21,Cx. restuans,Northern Cardinal
06/28/21,Cx. pipiens,American Robin
06/28/21,Cx. pipiens,American Robin
06/28/21,Cx. pipiens,House Sparrow
06/28/21,Cx. pipiens,American Robin
06/28/21,Cx. restuans,American Robin
06/28/21,Cx. pipiens,Northern Cardinal
06/28/21,Cx. restuans,American Robin
06/28/21,Cx. pipiens,Northern Cardinal
07/07/21,Cx. pipiens,American Robin
07/07/21,Cx. pipiens,Human
07/07/21,Cx. pipiens,Northern Cardinal
07/07/21,Cx. pipiens,Cedar Waxwing
07/07/21,Cx. pipiens,Northern Cardinal
07/07/21,Cx. pipiens,Northern Cardinal
07/12/21,Cx. pipiens,Northern Cardinal
07/21/21,Cx. pipiens,Northern Cardinal
07/21/21,Cx. pipiens,American Robin
07/12/21,Cx. pipiens,Northern Cardinal
07/12/21,Cx. pipiens,American Robin
07/12/21,Cx. pipiens,Cedar Waxwing
07/12/21,Cx. pipiens,Mourning Dove
07/12/21,Cx. pipiens,Northern Cardinal
07/12/21,Cx. pipiens,Northern Cardinal
08/02/21,Cx. restuans,House Sparrow
08/02/21,Cx. pipiens,House Finch
07/26/21,Cx. pipiens,House Sparrow
07/26/21,Cx. pipiens,House Finch
07/26/21,Cx. pipiens,House Finch
07/26/21,Cx. pipiens,House Sparrow
07/26/21,Cx. pipiens,House Sparrow
07/26/21,Cx. restuans,House Sparrow
07/26/21,Cx. pipiens,Mourning Dove
07/23/21,Cx. restuans,Human
07/19/21,Cx. pipiens,Mourning Dove
07/19/21,Cx. pipiens,House Sparrow
07/19/21,Cx. pipiens,Song Sparrow
07/19/21,Cx. pipiens,Mourning Dove
07/19/21,Cx. restuans,American Robin
07/19/21,Cx. pipiens,House Sparrow
07/19/21,Cx. restuans,Northern Cardinal
05/21/21,Cx. restuans,House Sparrow
05/21/21,Cx. restuans,Carolina Chickadee
05/28/21,Cx. restuans,Common Starling
06/05/21,Cx. restuans,House Finch
06/25/21,Cx. restuans,Brown-headed Cowbird
06/25/21,Cx. restuans,House Sparrow
06/25/21,Cx. restuans,American Robin
07/16/21,Cx. restuans,Northern Cardinal
07/21/21,Cx. pipiens,House Finch
07/21/21,Cx. pipiens,House Sparrow
07/23/21,Cx. restuans,Northern Cardinal
07/23/21,Cx. pipiens,House Sparrow
08/25/21,Cx. restuans,Northern Cardinal
08/25/21,Cx. pipiens,House Sparrow
09/07/21,Cx. erraticus,Mourning Dove
09/09/21,Cx. pipiens,Gray Catbird
09/09/21,Cx. restuans,Gray Catbird
09/20/21,Cx. erraticus,Green Frog
09/20/21,Cx. erraticus,American Robin
09/20/21,Cx. erraticus,White-tailed deer
09/20/21,Cx. erraticus,White-tailed deer
09/20/21,Cx. erraticus,White-tailed deer
10/04/21,Cx. pipiens,House Sparrow
10/15/21,Cx. restuans,Northern Cardinal
10/15/21,Cx. restuans,Northern Cardinal
10/15/21,Cx. restuans,Northern Cardinal
10/15/21,Cx. restuans,Northern Cardinal
11/04/21,Cx. pipiens,Northern Cardinal
